date,product_id,comp_a_price,comp_b_price,comp_c_price,avg_competitor_price
2024-06-08,1001,234.33,226.7,238.68,233.24
2024-06-09,1001,233.19,209.83,217.89,220.3
2024-06-10,1001,237.75,202.47,232.06,224.09
2024-06-11,1001,219.66,233.11,188.02,213.6
2024-06-12,1001,236.8,235.05,247.71,239.85
2024-06-13,1001,232.96,212.25,240.15,228.45
2024-06-14,1001,203.41,205.31,190.84,199.85
2024-06-15,1001,227.2,203.38,206.47,212.35
2024-06-16,1001,207.68,222.98,243.89,224.85
2024-06-17,1001,193.52,231.52,187.19,204.08
2024-06-18,1001,237.51,229.03,251.23,239.26
2024-06-19,1001,211.68,217.88,226.94,218.83
2024-06-20,1001,229.29,215.7,213.42,219.47
2024-06-21,1001,197.66,213.5,204.63,205.26
2024-06-22,1001,194.37,201.72,250.56,215.55
2024-06-23,1001,225.03,208.73,248.09,227.28
2024-06-24,1001,212.43,231.84,247.74,230.67
2024-06-25,1001,200.38,235.76,200.98,212.37
2024-06-26,1001,221.58,219.02,200.92,213.84
2024-06-27,1001,201.32,228.36,208.75,212.81
2024-06-28,1001,234.85,233.54,251.03,239.81
2024-06-29,1001,228.81,225.44,195.88,216.71
2024-06-30,1001,203.11,219.87,224.67,215.88
2024-07-01,1001,234.55,210.38,194.29,213.07
2024-07-02,1001,233.81,229.4,228.76,230.66
2024-07-03,1001,211.99,214.13,202.83,209.65
2024-07-04,1001,196.25,208.79,230.6,211.88
2024-07-05,1001,216.16,217.9,224.64,219.57
2024-07-06,1001,224.95,220.88,203.3,216.38
2024-07-07,1001,224.01,230.84,242.66,232.5
2024-07-08,1001,225.89,224.88,226.36,225.71
2024-07-09,1001,234.71,231.58,187.71,218.0
2024-07-10,1001,208.47,227.1,196.33,210.63
2024-07-11,1001,216.75,201.32,204.62,207.56
2024-07-12,1001,222.73,210.18,227.37,220.09
2024-07-13,1001,197.49,227.71,221.29,215.5
2024-07-14,1001,222.77,233.69,192.51,216.32
2024-07-15,1001,195.61,211.62,232.23,213.15
2024-07-16,1001,208.98,222.81,188.79,206.86
2024-07-17,1001,238.94,227.31,194.32,220.19
2024-07-18,1001,193.41,212.41,217.84,207.89
2024-07-19,1001,213.79,210.66,251.18,225.21
2024-07-20,1001,200.22,228.89,231.28,220.13
2024-07-21,1001,225.07,223.98,203.71,217.59
2024-07-22,1001,213.14,234.09,213.32,220.18
2024-07-23,1001,205.54,235.51,212.63,217.89
2024-07-24,1001,202.6,202.18,228.53,211.1
2024-07-25,1001,215.11,234.95,197.96,216.01
2024-07-26,1001,229.42,230.64,235.7,231.92
2024-07-27,1001,193.91,233.3,226.23,217.81
2024-07-28,1001,197.99,205.47,230.75,211.4
2024-07-29,1001,215.99,203.34,223.96,214.43
2024-07-30,1001,207.27,217.01,186.56,203.61
2024-07-31,1001,215.43,222.08,204.92,214.14
2024-08-01,1001,229.85,202.48,217.3,216.54
2024-08-02,1001,239.8,206.08,218.51,221.46
2024-08-03,1001,219.26,201.44,207.2,209.3
2024-08-04,1001,209.21,202.25,190.95,200.8
2024-08-05,1001,219.64,225.21,238.29,227.71
2024-08-06,1001,197.38,223.35,232.12,217.62
2024-08-07,1001,194.85,220.02,232.29,215.72
2024-08-08,1001,230.9,212.97,239.22,227.7
2024-08-09,1001,218.68,229.68,215.45,221.27
2024-08-10,1001,227.53,203.95,189.75,207.08
2024-08-11,1001,234.27,208.76,249.78,230.94
2024-08-12,1001,230.33,224.13,218.46,224.31
2024-08-13,1001,203.34,235.94,249.71,229.66
2024-08-14,1001,225.06,203.62,187.8,205.49
2024-08-15,1001,234.1,226.52,234.5,231.71
2024-08-16,1001,210.19,235.63,188.42,211.41
2024-08-17,1001,213.44,226.46,217.71,219.2
2024-08-18,1001,212.63,210.78,224.64,216.02
2024-08-19,1001,222.31,223.18,233.87,226.45
2024-08-20,1001,236.06,207.38,201.37,214.94
2024-08-21,1001,233.44,218.31,202.0,217.92
2024-08-22,1001,217.11,213.66,224.68,218.48
2024-08-23,1001,238.97,210.12,228.86,225.98
2024-08-24,1001,198.64,235.01,215.55,216.4
2024-08-25,1001,200.51,219.27,207.89,209.22
2024-08-26,1001,204.31,222.68,232.14,219.71
2024-08-27,1001,194.11,226.85,229.32,216.76
2024-08-28,1001,231.09,221.57,242.73,231.8
2024-08-29,1001,205.32,203.09,220.62,209.68
2024-08-30,1001,198.22,216.91,247.03,220.72
2024-08-31,1001,194.35,206.28,250.49,217.04
2024-09-01,1001,238.12,223.45,242.71,234.76
2024-09-02,1001,215.86,224.42,194.95,211.74
2024-09-03,1001,226.24,208.15,229.95,221.45
2024-09-04,1001,224.69,216.61,242.72,228.01
2024-09-05,1001,232.65,234.13,230.6,232.46
2024-09-06,1001,234.13,221.05,187.79,214.32
2024-09-07,1001,224.88,208.64,229.0,220.84
2024-09-08,1001,197.48,224.1,251.33,224.3
2024-09-09,1001,211.92,231.55,237.1,226.86
2024-09-10,1001,234.6,215.23,207.24,219.02
2024-09-11,1001,229.01,229.0,214.36,224.12
2024-09-12,1001,218.53,201.29,207.08,208.97
2024-09-13,1001,225.79,214.68,215.22,218.56
2024-09-14,1001,203.28,203.65,225.36,210.76
2024-09-15,1001,214.64,214.38,242.41,223.81
2024-09-16,1001,193.58,213.03,210.72,205.78
2024-09-17,1001,218.01,222.35,235.95,225.44
2024-09-18,1001,238.3,201.73,198.63,212.89
2024-09-19,1001,235.53,209.61,246.58,230.57
2024-09-20,1001,209.26,204.64,217.65,210.52
2024-09-21,1001,207.13,229.18,221.15,219.15
2024-09-22,1001,226.79,210.63,212.91,216.78
2024-09-23,1001,225.1,207.44,220.23,217.59
2024-09-24,1001,219.63,210.07,248.94,226.21
2024-09-25,1001,218.81,202.61,227.31,216.24
2024-09-26,1001,231.74,232.02,200.75,221.5
2024-09-27,1001,212.12,230.47,244.81,229.13
2024-09-28,1001,229.88,210.7,239.74,226.77
2024-09-29,1001,196.94,222.91,215.42,211.76
2024-09-30,1001,227.78,231.27,200.01,219.69
2024-10-01,1001,223.22,222.33,221.64,222.4
2024-10-02,1001,220.94,218.47,250.57,229.99
2024-10-03,1001,211.79,216.07,232.85,220.24
2024-10-04,1001,198.52,204.73,233.29,212.18
2024-10-05,1001,196.17,204.09,244.43,214.9
2024-10-06,1001,203.25,213.51,190.35,202.37
2024-10-07,1001,230.84,209.27,221.2,220.44
2024-10-08,1001,217.98,212.44,207.63,212.68
2024-10-09,1001,224.18,220.6,233.7,226.16
2024-10-10,1001,219.39,234.58,197.29,217.09
2024-10-11,1001,218.12,204.47,215.33,212.64
2024-10-12,1001,224.32,228.91,246.59,233.27
2024-10-13,1001,199.68,235.8,246.58,227.35
2024-10-14,1001,217.4,222.9,191.64,210.65
2024-10-15,1001,232.07,228.44,232.27,230.93
2024-10-16,1001,205.0,213.69,191.54,203.41
2024-10-17,1001,207.04,214.98,215.12,212.38
2024-10-18,1001,236.56,218.47,250.85,235.29
2024-10-19,1001,237.1,205.16,239.4,227.22
2024-10-20,1001,234.09,229.28,237.6,233.66
2024-10-21,1001,211.73,207.16,231.36,216.75
2024-10-22,1001,223.17,229.86,194.48,215.84
2024-10-23,1001,215.77,222.3,235.94,224.67
2024-10-24,1001,211.52,206.21,209.89,209.21
2024-10-25,1001,198.85,234.78,221.83,218.49
2024-10-26,1001,207.34,218.79,214.61,213.58
2024-10-27,1001,202.74,222.76,228.43,217.98
2024-10-28,1001,229.9,217.17,189.61,212.23
2024-10-29,1001,225.77,235.5,201.48,220.92
2024-10-30,1001,206.93,204.63,231.18,214.25
2024-10-31,1001,240.28,229.56,226.14,231.99
2024-11-01,1001,217.69,215.99,194.36,209.35
2024-11-02,1001,201.71,213.96,212.95,209.54
2024-11-03,1001,229.34,201.48,213.08,214.63
2024-11-04,1001,204.84,227.68,194.78,209.1
2024-11-05,1001,192.93,209.53,249.78,217.41
2024-11-06,1001,215.81,204.93,221.72,214.15
2024-11-07,1001,197.07,218.17,195.63,203.62
2024-11-08,1001,215.24,214.24,211.66,213.71
2024-11-09,1001,235.25,234.5,237.39,235.71
2024-11-10,1001,213.39,210.0,240.93,221.44
2024-11-11,1001,214.54,223.38,229.03,222.32
2024-11-12,1001,221.87,203.42,219.79,215.03
2024-11-13,1001,216.98,224.88,188.53,210.13
2024-11-14,1001,195.82,203.59,186.59,195.33
2024-11-15,1001,209.34,211.46,208.72,209.84
2024-11-16,1001,201.26,207.18,192.25,200.23
2024-11-17,1001,205.1,201.83,191.18,199.37
2024-11-18,1001,229.34,222.94,210.84,221.04
2024-11-19,1001,221.92,228.18,228.02,226.04
2024-11-20,1001,238.92,229.03,204.99,224.31
2024-11-21,1001,220.36,227.26,239.02,228.88
2024-11-22,1001,208.62,233.55,200.52,214.23
2024-11-23,1001,213.48,222.53,247.63,227.88
2024-11-24,1001,201.85,232.11,228.14,220.7
2024-11-25,1001,233.77,230.7,246.05,236.84
2024-11-26,1001,214.5,230.54,233.56,226.2
2024-11-27,1001,200.88,220.15,250.36,223.8
2024-11-28,1001,200.28,205.7,233.4,213.13
2024-11-29,1001,216.68,230.5,233.85,227.01
2024-11-30,1001,216.8,211.5,222.84,217.05
2024-12-01,1001,222.95,227.71,196.29,215.65
2024-12-02,1001,204.21,226.5,250.83,227.18
2024-12-03,1001,230.82,208.23,222.19,220.41
2024-12-04,1001,201.39,213.52,237.19,217.37
2024-12-05,1001,228.94,202.33,234.69,221.99
2024-12-06,1001,210.04,212.53,195.56,206.04
2024-12-07,1001,240.26,213.97,215.21,223.15
2024-12-08,1001,220.87,214.79,212.85,216.17
2024-12-09,1001,222.14,213.53,237.87,224.51
2024-12-10,1001,215.48,223.56,190.05,209.7
2024-12-11,1001,219.31,222.2,230.15,223.89
2024-12-12,1001,232.03,218.52,190.85,213.8
2024-12-13,1001,230.09,225.84,237.51,231.15
2024-12-14,1001,199.44,212.57,214.25,208.75
2024-12-15,1001,221.12,226.82,251.26,233.07
2024-12-16,1001,212.61,223.34,237.31,224.42
2024-12-17,1001,232.73,214.52,223.29,223.51
2024-12-18,1001,209.77,212.79,187.51,203.36
2024-12-19,1001,205.48,219.21,205.38,210.02
2024-12-20,1001,213.01,231.62,241.0,228.54
2024-12-21,1001,214.38,217.98,194.55,208.97
2024-12-22,1001,216.22,216.37,233.63,222.07
2024-12-23,1001,221.69,205.83,235.06,220.86
2024-12-24,1001,195.67,203.09,204.3,201.02
2024-12-25,1001,235.93,209.82,203.63,216.46
2024-12-26,1001,229.7,203.38,217.76,216.95
2024-12-27,1001,235.94,205.96,220.71,220.87
2024-12-28,1001,235.62,201.86,229.32,222.27
2024-12-29,1001,237.4,202.92,213.25,217.86
2024-12-30,1001,239.54,210.07,228.69,226.1
2024-01-01,1002,135.25,148.12,142.2,141.86
2024-01-02,1002,125.78,131.67,127.43,128.29
2024-01-03,1002,137.05,129.23,152.6,139.63
2024-01-04,1002,142.64,138.68,120.44,133.92
2024-01-05,1002,126.22,147.54,152.18,141.98
2024-01-06,1002,133.67,141.05,139.6,138.11
2024-01-07,1002,145.63,136.82,119.21,133.89
2024-01-08,1002,129.03,130.33,130.71,130.02
2024-01-09,1002,127.4,146.05,153.4,142.28
2024-01-10,1002,134.87,148.41,148.96,144.08
2024-01-11,1002,135.25,146.74,139.32,140.44
2024-01-12,1002,141.09,144.82,132.78,139.56
2024-01-13,1002,127.37,138.23,128.93,131.51
2024-01-14,1002,140.42,144.28,133.42,139.37
2024-01-15,1002,125.98,142.04,149.84,139.29
2024-01-16,1002,148.65,132.8,157.7,146.38
2024-01-17,1002,126.78,146.4,144.09,139.09
2024-01-18,1002,139.84,128.54,153.52,140.63
2024-01-19,1002,150.5,135.91,157.72,148.04
2024-01-20,1002,126.22,146.14,134.72,135.69
2024-01-21,1002,138.15,138.32,146.78,141.08
2024-01-22,1002,143.36,130.83,152.52,142.24
2024-01-23,1002,142.71,133.63,136.53,137.62
2024-01-24,1002,132.03,137.59,151.28,140.3
2024-01-25,1002,142.77,144.9,121.22,136.3
2024-01-26,1002,131.74,136.63,148.0,138.79
2024-01-27,1002,131.87,145.24,136.53,137.88
2024-01-28,1002,125.02,141.6,130.49,132.37
2024-01-29,1002,126.49,145.56,126.45,132.83
2024-01-30,1002,140.67,142.0,138.24,140.3
2024-01-31,1002,122.2,133.4,144.05,133.22
2024-02-01,1002,144.4,144.08,144.54,144.34
2024-02-02,1002,141.52,139.05,121.65,134.07
2024-02-03,1002,147.39,138.75,132.78,139.64
2024-02-04,1002,134.0,127.63,147.63,136.42
2024-02-05,1002,147.2,133.14,154.69,145.01
2024-02-06,1002,121.74,147.92,147.09,138.92
2024-02-07,1002,129.72,145.93,121.71,132.45
2024-02-08,1002,124.12,132.03,117.57,124.57
2024-02-09,1002,139.32,133.25,129.45,134.01
2024-02-10,1002,148.55,145.48,144.65,146.23
2024-02-11,1002,126.81,128.44,126.96,127.4
2024-02-12,1002,138.85,148.64,152.42,146.64
2024-02-13,1002,146.38,139.9,121.81,136.03
2024-02-14,1002,141.47,144.98,153.38,146.61
2024-02-15,1002,134.23,133.69,135.02,134.31
2024-02-16,1002,148.24,136.47,142.14,142.28
2024-02-17,1002,142.48,131.93,138.23,137.55
2024-02-18,1002,135.97,141.07,156.33,144.46
2024-02-19,1002,136.53,140.68,119.99,132.4
2024-02-20,1002,135.51,127.71,122.85,128.69
2024-02-21,1002,131.23,137.32,125.16,131.24
2024-02-22,1002,127.47,138.09,117.29,127.62
2024-02-23,1002,122.31,129.08,131.06,127.48
2024-02-24,1002,136.73,133.17,155.56,141.82
2024-02-25,1002,139.89,129.21,131.33,133.48
2024-02-26,1002,136.15,142.18,158.08,145.47
2024-02-27,1002,133.15,136.0,134.04,134.4
2024-02-28,1002,139.61,133.52,151.1,141.41
2024-02-29,1002,121.24,140.73,119.17,127.05
2024-03-01,1002,139.49,141.83,121.79,134.37
2024-03-02,1002,132.38,129.37,134.37,132.04
2024-03-03,1002,123.62,134.52,155.97,138.04
2024-03-04,1002,132.16,139.78,117.48,129.81
2024-03-05,1002,139.75,145.95,146.97,144.22
2024-03-06,1002,123.21,138.47,122.93,128.2
2024-03-07,1002,130.13,137.41,140.91,136.15
2024-03-08,1002,138.12,134.26,147.19,139.86
2024-03-09,1002,142.18,136.18,144.87,141.08
2024-03-10,1002,145.1,136.54,150.05,143.9
2024-03-11,1002,148.97,136.2,130.24,138.47
2024-03-12,1002,139.41,142.25,145.5,142.39
2024-03-13,1002,134.24,129.84,153.84,139.31
2024-03-14,1002,121.96,140.93,143.38,135.42
2024-03-15,1002,133.6,133.56,145.04,137.4
2024-03-16,1002,127.8,148.47,135.82,137.36
2024-03-17,1002,135.91,127.31,137.95,133.72
2024-03-18,1002,122.38,127.38,133.09,127.62
2024-03-19,1002,144.11,136.81,129.01,136.64
2024-03-20,1002,150.16,133.62,153.77,145.85
2024-03-21,1002,151.01,133.06,156.77,146.95
2024-03-22,1002,131.51,138.63,123.43,131.19
2024-03-23,1002,144.28,145.07,135.26,141.54
2024-03-24,1002,127.09,127.97,131.21,128.76
2024-03-25,1002,138.09,134.35,141.04,137.83
2024-03-26,1002,140.17,137.48,133.66,137.1
2024-03-27,1002,140.08,139.25,142.71,140.68
2024-03-28,1002,122.39,137.18,139.5,133.02
2024-03-29,1002,148.75,142.61,139.1,143.49
2024-03-30,1002,145.14,129.45,149.88,141.49
2024-03-31,1002,149.8,129.98,136.18,138.65
2024-04-01,1002,147.36,139.68,132.57,139.87
2024-04-02,1002,144.27,135.22,138.19,139.23
2024-04-03,1002,147.42,148.31,133.9,143.21
2024-04-04,1002,138.57,147.77,125.34,137.23
2024-04-05,1002,134.5,145.37,153.96,144.61
2024-04-06,1002,134.78,137.95,142.95,138.56
2024-04-07,1002,135.64,141.86,146.92,141.47
2024-04-08,1002,130.26,134.61,150.3,138.39
2024-04-09,1002,150.2,126.9,158.29,145.13
2024-04-10,1002,130.12,127.02,147.55,134.9
2024-04-11,1002,125.52,143.3,148.83,139.22
2024-04-12,1002,146.82,140.22,120.72,135.92
2024-04-13,1002,133.54,135.67,119.79,129.67
2024-04-14,1002,145.68,147.58,120.05,137.77
2024-04-15,1002,130.27,128.4,137.75,132.14
2024-04-16,1002,122.72,128.31,133.71,128.25
2024-04-17,1002,129.71,144.41,155.45,143.19
2024-04-18,1002,130.93,137.2,126.4,131.51
2024-04-19,1002,139.48,134.59,143.83,139.3
2024-04-20,1002,136.44,136.6,141.27,138.1
2024-04-21,1002,141.88,132.03,146.56,140.16
2024-04-22,1002,137.93,138.16,122.97,133.02
2024-04-23,1002,136.24,132.97,122.59,130.6
2024-04-24,1002,143.88,133.7,117.07,131.55
2024-04-25,1002,129.56,142.28,119.65,130.5
2024-04-26,1002,128.67,143.03,130.13,133.94
2024-04-27,1002,129.39,145.27,130.01,134.89
2024-04-28,1002,134.34,146.75,132.65,137.91
2024-04-29,1002,142.01,137.58,133.08,137.56
2024-04-30,1002,121.33,130.38,146.52,132.74
2024-05-01,1002,144.25,147.65,146.09,146.0
2024-05-02,1002,144.88,140.9,119.05,134.94
2024-05-03,1002,136.35,136.24,135.97,136.19
2024-05-04,1002,132.4,127.86,148.77,136.34
2024-05-05,1002,146.96,131.37,144.22,140.85
2024-05-06,1002,127.73,141.64,142.17,137.18
2024-05-07,1002,140.94,142.98,130.1,138.01
2024-05-08,1002,142.8,131.09,153.84,142.58
2024-05-09,1002,122.95,129.16,138.38,130.16
2024-05-10,1002,121.64,135.06,131.0,129.23
2024-05-11,1002,133.73,137.56,133.77,135.02
2024-05-12,1002,121.49,136.93,156.87,138.43
2024-05-13,1002,130.64,143.76,149.0,141.13
2024-05-14,1002,125.0,127.08,148.88,133.65
2024-05-15,1002,129.24,127.09,129.18,128.5
2024-05-16,1002,131.74,134.89,117.12,127.92
2024-05-17,1002,150.71,145.37,118.04,138.04
2024-05-18,1002,144.84,136.79,133.51,138.38
2024-05-19,1002,128.11,132.14,137.06,132.44
2024-05-20,1002,122.95,147.81,156.01,142.26
2024-05-21,1002,137.69,147.92,120.19,135.27
2024-05-22,1002,127.13,129.81,142.78,133.24
2024-05-23,1002,125.65,144.58,143.34,137.86
2024-05-24,1002,129.07,134.31,154.97,139.45
2024-05-25,1002,148.16,142.3,119.63,136.7
2024-05-26,1002,140.31,136.57,122.61,133.16
2024-05-27,1002,128.52,137.73,145.14,137.13
2024-05-28,1002,145.64,136.83,139.64,140.7
2024-05-29,1002,126.22,136.52,125.7,129.48
2024-05-30,1002,150.92,144.18,152.34,149.15
2024-05-31,1002,127.16,147.67,158.16,144.33
2024-06-01,1002,138.45,132.42,135.12,135.33
2024-06-02,1002,140.05,148.32,124.92,137.76
2024-06-03,1002,149.79,147.86,138.61,145.42
2024-06-04,1002,126.09,137.21,146.74,136.68
2024-06-05,1002,141.39,130.29,140.41,137.36
2024-06-06,1002,121.56,126.9,131.81,126.76
2024-06-07,1002,140.41,131.6,130.35,134.12
2024-06-08,1002,124.08,136.15,118.27,126.17
2024-06-09,1002,124.78,133.07,133.5,130.45
2024-06-10,1002,122.55,143.47,132.42,132.81
2024-06-11,1002,149.02,147.66,140.91,145.86
2024-06-12,1002,128.8,139.13,131.88,133.27
2024-06-13,1002,127.0,146.94,121.27,131.74
2024-06-14,1002,122.37,127.5,124.3,124.72
2024-06-15,1002,149.99,139.52,135.1,141.54
2024-06-16,1002,144.18,132.93,131.65,136.25
2024-06-17,1002,148.24,135.95,149.3,144.5
2024-06-18,1002,127.4,139.73,124.75,130.63
