date,product_id,price,demand,revenue,margin,cost,day_of_week,month,seasonality_index
2024-03-15,1001,201.03,15,3015.45,585.0,162.03,4,3,1.0
2024-03-16,1001,250.19,10,2501.9,881.6,162.03,5,3,1.0
2024-03-17,1001,196.83,15,2952.45,522.0,162.03,6,3,1.0
2024-03-18,1001,230.17,11,2531.87,749.54,162.03,0,3,1.0
2024-03-19,1001,231.75,10,2317.5,697.2,162.03,1,3,1.0
2024-03-20,1001,208.79,14,2923.06,654.64,162.03,2,3,1.0
2024-03-21,1001,204.53,12,2454.36,510.0,162.03,3,3,1.0
2024-03-22,1001,239.53,12,2874.36,930.0,162.03,4,3,1.0
2024-03-23,1001,195.96,16,3135.36,542.88,162.03,5,3,1.0
2024-03-24,1001,204.71,16,3275.36,682.88,162.03,6,3,1.0
2024-03-25,1001,219.65,13,2855.45,749.06,162.03,0,3,1.0
2024-03-26,1001,245.18,10,2451.8,831.5,162.03,1,3,1.0
2024-03-27,1001,223.78,10,2237.8,617.5,162.03,2,3,1.0
2024-03-28,1001,211.36,16,3381.76,789.28,162.03,3,3,1.0
2024-03-29,1001,227.38,10,2273.8,653.5,162.03,4,3,1.0
2024-03-30,1001,224.05,12,2688.6,744.24,162.03,5,3,1.0
2024-03-31,1001,209.1,15,3136.5,706.05,162.03,6,3,1.0
2024-04-01,1001,250.57,9,2255.13,796.86,162.03,0,4,1.125
2024-04-02,1001,206.87,14,2896.18,627.76,162.03,1,4,1.125
2024-04-03,1001,245.27,13,3188.51,1082.12,162.03,2,4,1.125
2024-04-04,1001,198.96,19,3780.24,701.67,162.03,3,4,1.125
2024-04-05,1001,207.57,16,3321.12,728.64,162.03,4,4,1.125
2024-04-06,1001,226.09,14,3165.26,896.84,162.03,5,4,1.125
2024-04-07,1001,217.46,17,3696.82,942.31,162.03,6,4,1.125
2024-04-08,1001,209.38,16,3350.08,757.6,162.03,0,4,1.125
2024-04-09,1001,195.41,21,4103.61,700.98,162.03,1,4,1.125
2024-04-10,1001,211.37,17,3593.29,838.78,162.03,2,4,1.125
2024-04-11,1001,227.5,15,3412.5,982.05,162.03,3,4,1.125
2024-04-12,1001,241.37,14,3379.18,1110.76,162.03,4,4,1.125
2024-04-13,1001,203.05,22,4467.1,902.44,162.03,5,4,1.125
2024-04-14,1001,200.6,17,3410.2,655.69,162.03,6,4,1.125
2024-04-15,1001,240.42,13,3125.46,1019.07,162.03,0,4,1.125
2024-04-16,1001,215.51,14,3017.14,748.72,162.03,1,4,1.125
2024-04-17,1001,210.14,18,3782.52,865.98,162.03,2,4,1.125
2024-04-18,1001,215.01,12,2580.12,635.76,162.03,3,4,1.125
2024-04-19,1001,247.82,12,2973.84,1029.48,162.03,4,4,1.125
2024-04-20,1001,228.94,13,2976.22,869.83,162.03,5,4,1.125
2024-04-21,1001,210.75,18,3793.5,876.96,162.03,6,4,1.125
2024-04-22,1001,237.35,10,2373.5,753.2,162.03,0,4,1.125
2024-04-23,1001,242.31,10,2423.1,802.8,162.03,1,4,1.125
2024-04-24,1001,205.88,17,3499.96,745.45,162.03,2,4,1.125
2024-04-25,1001,224.38,16,3590.08,997.6,162.03,3,4,1.125
2024-04-26,1001,226.78,11,2494.58,712.25,162.03,4,4,1.125
2024-04-27,1001,226.95,17,3858.15,1103.64,162.03,5,4,1.125
2024-04-28,1001,247.36,14,3463.04,1194.62,162.03,6,4,1.125
2024-04-29,1001,201.35,18,3624.3,707.76,162.03,0,4,1.125
2024-04-30,1001,247.49,13,3217.37,1110.98,162.03,1,4,1.125
2024-05-01,1001,241.86,13,3144.18,1037.79,162.03,2,5,1.2165
2024-05-02,1001,227.25,16,3636.0,1043.52,162.03,3,5,1.2165
2024-05-03,1001,192.62,23,4430.26,703.57,162.03,4,5,1.2165
2024-05-04,1001,212.79,17,3617.43,862.92,162.03,5,5,1.2165
2024-05-05,1001,219.05,17,3723.85,969.34,162.03,6,5,1.2165
2024-05-06,1001,246.34,10,2463.4,843.1,162.03,0,5,1.2165
2024-05-07,1001,231.51,13,3009.63,903.24,162.03,1,5,1.2165
2024-05-08,1001,197.39,15,2960.85,530.4,162.03,2,5,1.2165
2024-05-09,1001,236.61,11,2602.71,820.38,162.03,3,5,1.2165
2024-05-10,1001,194.51,22,4279.22,714.56,162.03,4,5,1.2165
2024-05-11,1001,219.1,18,3943.8,1027.26,162.03,5,5,1.2165
2024-05-12,1001,201.51,20,4030.2,789.6,162.03,6,5,1.2165
2024-05-13,1001,208.33,14,2916.62,648.2,162.03,0,5,1.2165
2024-05-14,1001,234.6,12,2815.2,870.84,162.03,1,5,1.2165
2024-05-15,1001,232.0,12,2784.0,839.64,162.03,2,5,1.2165
2024-05-16,1001,230.87,15,3463.05,1032.6,162.03,3,5,1.2165
2024-05-17,1001,242.85,11,2671.35,889.02,162.03,4,5,1.2165
2024-05-18,1001,209.65,17,3564.05,809.54,162.03,5,5,1.2165
2024-05-19,1001,193.92,26,5041.92,829.14,162.03,6,5,1.2165
2024-05-20,1001,240.59,13,3127.67,1021.28,162.03,0,5,1.2165
2024-05-21,1001,208.17,16,3330.72,738.24,162.03,1,5,1.2165
2024-05-22,1001,209.73,19,3984.87,906.3,162.03,2,5,1.2165
2024-05-23,1001,221.12,12,2653.44,709.08,162.03,3,5,1.2165
2024-05-24,1001,208.21,14,2914.94,646.52,162.03,4,5,1.2165
2024-05-25,1001,241.63,13,3141.19,1034.8,162.03,5,5,1.2165
2024-05-26,1001,193.44,21,4062.24,659.61,162.03,6,5,1.2165
2024-05-27,1001,225.06,12,2700.72,756.36,162.03,0,5,1.2165
2024-05-28,1001,200.43,19,3808.17,729.6,162.03,1,5,1.2165
2024-05-29,1001,231.6,13,3010.8,904.41,162.03,2,5,1.2165
2024-05-30,1001,222.98,12,2675.76,731.4,162.03,3,5,1.2165
2024-05-31,1001,227.95,13,2963.35,856.96,162.03,4,5,1.2165
2024-06-01,1001,234.79,17,3991.43,1236.92,162.03,5,6,1.25
2024-06-02,1001,247.64,13,3219.32,1112.93,162.03,6,6,1.25
2024-06-03,1001,227.47,14,3184.58,916.16,162.03,0,6,1.25
2024-06-04,1001,237.85,13,3092.05,985.66,162.03,1,6,1.25
2024-06-05,1001,232.98,16,3727.68,1135.2,162.03,2,6,1.25
2024-06-06,1001,233.35,11,2566.85,784.52,162.03,3,6,1.25
2024-06-07,1001,246.49,11,2711.39,929.06,162.03,4,6,1.25
2024-06-08,1001,224.33,18,4037.94,1121.4,162.03,5,6,1.25
2024-06-09,1001,233.21,14,3264.94,996.52,162.03,6,6,1.25
2024-06-10,1001,250.64,14,3508.96,1240.54,162.03,0,6,1.25
2024-06-11,1001,203.01,20,4060.2,819.6,162.03,1,6,1.25
2024-06-12,1001,209.9,17,3568.3,813.79,162.03,2,6,1.25
2024-06-13,1001,243.23,10,2432.3,812.0,162.03,3,6,1.25
2024-06-14,1001,227.54,16,3640.64,1048.16,162.03,4,6,1.25
2024-06-15,1001,212.41,20,4248.2,1007.6,162.03,5,6,1.25
2024-06-16,1001,239.02,16,3824.32,1231.84,162.03,6,6,1.25
2024-06-17,1001,206.1,20,4122.0,881.4,162.03,0,6,1.25
2024-06-18,1001,223.57,14,3129.98,861.56,162.03,1,6,1.25
2024-06-19,1001,237.63,15,3564.45,1134.0,162.03,2,6,1.25
2024-06-20,1001,250.43,13,3255.59,1149.2,162.03,3,6,1.25
2024-06-21,1001,206.44,16,3303.04,710.56,162.03,4,6,1.25
2024-06-22,1001,206.14,20,4122.8,882.2,162.03,5,6,1.25
2024-06-23,1001,215.03,21,4515.63,1113.0,162.03,6,6,1.25
2024-06-24,1001,197.63,19,3754.97,676.4,162.03,0,6,1.25
2024-06-25,1001,228.55,17,3885.35,1130.84,162.03,1,6,1.25
2024-06-26,1001,230.69,12,2768.28,823.92,162.03,2,6,1.25
2024-06-27,1001,205.36,15,3080.4,649.95,162.03,3,6,1.25
2024-06-28,1001,249.54,10,2495.4,875.1,162.03,4,6,1.25
2024-06-29,1001,215.74,21,4530.54,1127.91,162.03,5,6,1.25
2024-06-30,1001,205.6,21,4317.6,914.97,162.03,6,6,1.25
2024-07-01,1001,197.75,22,4350.5,785.84,162.03,0,7,1.2165
2024-07-02,1001,248.75,12,2985.0,1040.64,162.03,1,7,1.2165
2024-07-03,1001,197.48,21,4147.08,744.45,162.03,2,7,1.2165
2024-07-04,1001,221.62,12,2659.44,715.08,162.03,3,7,1.2165
2024-07-05,1001,242.59,14,3396.26,1127.84,162.03,4,7,1.2165
2024-07-06,1001,212.88,22,4683.36,1118.7,162.03,5,7,1.2165
2024-07-07,1001,239.41,16,3830.56,1238.08,162.03,6,7,1.2165
2024-07-08,1001,241.75,14,3384.5,1116.08,162.03,0,7,1.2165
2024-07-09,1001,201.71,20,4034.2,793.6,162.03,1,7,1.2165
2024-07-10,1001,199.96,21,4199.16,796.53,162.03,2,7,1.2165
2024-07-11,1001,241.46,13,3138.98,1032.59,162.03,3,7,1.2165
2024-07-12,1001,250.26,12,3003.12,1058.76,162.03,4,7,1.2165
2024-07-13,1001,238.37,18,4290.66,1374.12,162.03,5,7,1.2165
2024-07-14,1001,212.53,22,4675.66,1111.0,162.03,6,7,1.2165
2024-07-15,1001,232.95,11,2562.45,780.12,162.03,0,7,1.2165
2024-07-16,1001,226.71,16,3627.36,1034.88,162.03,1,7,1.2165
2024-07-17,1001,249.8,13,3247.4,1141.01,162.03,2,7,1.2165
2024-07-18,1001,193.8,22,4263.6,698.94,162.03,3,7,1.2165
2024-07-19,1001,232.68,13,3024.84,918.45,162.03,4,7,1.2165
2024-07-20,1001,218.99,16,3503.84,911.36,162.03,5,7,1.2165
2024-07-21,1001,197.21,26,5127.46,914.68,162.03,6,7,1.2165
2024-07-22,1001,201.27,19,3824.13,745.56,162.03,0,7,1.2165
2024-07-23,1001,215.82,18,3884.76,968.22,162.03,1,7,1.2165
2024-07-24,1001,205.92,16,3294.72,702.24,162.03,2,7,1.2165
2024-07-25,1001,243.36,14,3407.04,1138.62,162.03,3,7,1.2165
2024-07-26,1001,238.18,14,3334.52,1066.1,162.03,4,7,1.2165
2024-07-27,1001,200.1,24,4802.4,913.68,162.03,5,7,1.2165
2024-07-28,1001,220.77,17,3753.09,998.58,162.03,6,7,1.2165
2024-07-29,1001,204.18,16,3266.88,674.4,162.03,0,7,1.2165
2024-07-30,1001,239.42,10,2394.2,773.9,162.03,1,7,1.2165
2024-07-31,1001,215.51,17,3663.67,909.16,162.03,2,7,1.2165
2024-08-01,1001,243.11,9,2187.99,729.72,162.03,3,8,1.125
2024-08-02,1001,206.64,17,3512.88,758.37,162.03,4,8,1.125
2024-08-03,1001,233.81,14,3273.34,1004.92,162.03,5,8,1.125
2024-08-04,1001,197.54,19,3753.26,674.69,162.03,6,8,1.125
2024-08-05,1001,200.18,15,3002.7,572.25,162.03,0,8,1.125
2024-08-06,1001,202.23,13,2628.99,522.6,162.03,1,8,1.125
2024-08-07,1001,247.6,13,3218.8,1112.41,162.03,2,8,1.125
2024-08-08,1001,234.49,10,2344.9,724.6,162.03,3,8,1.125
2024-08-09,1001,245.16,12,2941.92,997.56,162.03,4,8,1.125
2024-08-10,1001,223.42,14,3127.88,859.46,162.03,5,8,1.125
2024-08-11,1001,201.77,18,3631.86,715.32,162.03,6,8,1.125
2024-08-12,1001,203.1,17,3452.7,698.19,162.03,0,8,1.125
2024-08-13,1001,234.8,13,3052.4,946.01,162.03,1,8,1.125
2024-08-14,1001,204.13,15,3061.95,631.5,162.03,2,8,1.125
2024-08-15,1001,219.65,14,3075.1,806.68,162.03,3,8,1.125
2024-08-16,1001,212.77,17,3617.09,862.58,162.03,4,8,1.125
2024-08-17,1001,226.5,18,4077.0,1160.46,162.03,5,8,1.125
2024-08-18,1001,245.51,15,3682.65,1252.2,162.03,6,8,1.125
2024-08-19,1001,204.78,14,2866.92,598.5,162.03,0,8,1.125
2024-08-20,1001,234.6,15,3519.0,1088.55,162.03,1,8,1.125
2024-08-21,1001,203.03,19,3857.57,779.0,162.03,2,8,1.125
2024-08-22,1001,218.63,12,2623.56,679.2,162.03,3,8,1.125
2024-08-23,1001,215.43,13,2800.59,694.2,162.03,4,8,1.125
2024-08-24,1001,238.0,12,2856.0,911.64,162.03,5,8,1.125
2024-08-25,1001,196.69,23,4523.87,797.18,162.03,6,8,1.125
2024-08-26,1001,217.78,12,2613.36,669.0,162.03,0,8,1.125
2024-08-27,1001,202.24,16,3235.84,643.36,162.03,1,8,1.125
2024-08-28,1001,242.17,10,2421.7,801.4,162.03,2,8,1.125
2024-08-29,1001,198.96,20,3979.2,738.6,162.03,3,8,1.125
2024-08-30,1001,194.67,17,3309.39,554.88,162.03,4,8,1.125
2024-08-31,1001,222.29,19,4223.51,1144.94,162.03,5,8,1.125
2024-09-01,1001,192.64,18,3467.52,550.98,162.03,6,9,1.0
2024-09-02,1001,222.78,10,2227.8,607.5,162.03,0,9,1.0
2024-09-03,1001,210.52,16,3368.32,775.84,162.03,1,9,1.0
2024-09-04,1001,197.89,13,2572.57,466.18,162.03,2,9,1.0
2024-09-05,1001,233.23,11,2565.53,783.2,162.03,3,9,1.0
2024-09-06,1001,228.81,13,2974.53,868.14,162.03,4,9,1.0
2024-09-07,1001,233.04,12,2796.48,852.12,162.03,5,9,1.0
2024-09-08,1001,230.78,11,2538.58,756.25,162.03,6,9,1.0
2024-09-09,1001,250.02,10,2500.2,879.9,162.03,0,9,1.0
2024-09-10,1001,235.93,11,2595.23,812.9,162.03,1,9,1.0
2024-09-11,1001,240.03,12,2880.36,936.0,162.03,2,9,1.0
2024-09-12,1001,199.44,14,2792.16,523.74,162.03,3,9,1.0
2024-09-13,1001,215.73,11,2373.03,590.7,162.03,4,9,1.0
2024-09-14,1001,214.38,16,3430.08,837.6,162.03,5,9,1.0
2024-09-15,1001,228.91,13,2975.83,869.44,162.03,6,9,1.0
2024-09-16,1001,220.63,12,2647.56,703.2,162.03,0,9,1.0
2024-09-17,1001,226.59,13,2945.67,839.28,162.03,1,9,1.0
2024-09-18,1001,234.73,9,2112.57,654.3,162.03,2,9,1.0
2024-09-19,1001,230.56,9,2075.04,616.77,162.03,3,9,1.0
2024-09-20,1001,247.5,9,2227.5,769.23,162.03,4,9,1.0
2024-09-21,1001,209.16,15,3137.4,706.95,162.03,5,9,1.0
2024-09-22,1001,228.37,11,2512.07,729.74,162.03,6,9,1.0
2024-09-23,1001,203.04,16,3248.64,656.16,162.03,0,9,1.0
2024-09-24,1001,198.66,15,2979.9,549.45,162.03,1,9,1.0
2024-09-25,1001,239.92,12,2879.04,934.68,162.03,2,9,1.0
2024-09-26,1001,227.86,10,2278.6,658.3,162.03,3,9,1.0
2024-09-27,1001,228.41,11,2512.51,730.18,162.03,4,9,1.0
2024-09-28,1001,206.33,16,3301.28,708.8,162.03,5,9,1.0
2024-09-29,1001,231.75,13,3012.75,906.36,162.03,6,9,1.0
2024-09-30,1001,202.27,12,2427.24,482.88,162.03,0,9,1.0
2024-10-01,1001,193.75,12,2325.0,380.64,162.03,1,10,0.875
2024-10-02,1001,215.42,10,2154.2,533.9,162.03,2,10,0.875
2024-10-03,1001,233.38,10,2333.8,713.5,162.03,3,10,0.875
2024-10-04,1001,250.85,8,2006.8,710.56,162.03,4,10,0.875
2024-10-05,1001,208.53,12,2502.36,558.0,162.03,5,10,0.875
2024-10-06,1001,211.43,14,2960.02,691.6,162.03,6,10,0.875
2024-10-07,1001,196.34,16,3141.44,548.96,162.03,0,10,0.875
2024-10-08,1001,230.76,10,2307.6,687.3,162.03,1,10,0.875
2024-10-09,1001,251.02,8,2008.16,711.92,162.03,2,10,0.875
2024-10-10,1001,195.9,15,2938.5,508.05,162.03,3,10,0.875
2024-10-11,1001,204.21,14,2858.94,590.52,162.03,4,10,0.875
2024-10-12,1001,212.86,12,2554.32,609.96,162.03,5,10,0.875
2024-10-13,1001,215.92,13,2806.96,700.57,162.03,6,10,0.875
2024-10-14,1001,242.04,10,2420.4,800.1,162.03,0,10,0.875
2024-10-15,1001,199.89,11,2198.79,416.46,162.03,1,10,0.875
2024-10-16,1001,210.24,14,2943.36,674.94,162.03,2,10,0.875
2024-10-17,1001,225.03,11,2475.33,693.0,162.03,3,10,0.875
2024-10-18,1001,222.78,12,2673.36,729.0,162.03,4,10,0.875
2024-10-19,1001,204.66,14,2865.24,596.82,162.03,5,10,0.875
2024-10-20,1001,244.17,9,2197.53,739.26,162.03,6,10,0.875
2024-10-21,1001,197.13,13,2562.69,456.3,162.03,0,10,0.875
2024-10-22,1001,249.93,9,2249.37,791.1,162.03,1,10,0.875
2024-10-23,1001,246.81,7,1727.67,593.46,162.03,2,10,0.875
2024-10-24,1001,222.01,9,1998.09,539.82,162.03,3,10,0.875
2024-10-25,1001,193.87,17,3295.79,541.28,162.03,4,10,0.875
2024-10-26,1001,217.87,11,2396.57,614.24,162.03,5,10,0.875
2024-10-27,1001,230.17,10,2301.7,681.4,162.03,6,10,0.875
2024-10-28,1001,195.97,16,3135.52,543.04,162.03,0,10,0.875
2024-10-29,1001,195.76,12,2349.12,404.76,162.03,1,10,0.875
2024-10-30,1001,199.51,11,2194.61,412.28,162.03,2,10,0.875
2024-10-31,1001,222.41,10,2224.1,603.8,162.03,3,10,0.875
2024-11-01,1001,229.17,10,2291.7,671.4,162.03,4,11,0.7835
2024-11-02,1001,218.9,13,2845.7,739.31,162.03,5,11,0.7835
2024-11-03,1001,235.65,10,2356.5,736.2,162.03,6,11,0.7835
2024-11-04,1001,193.48,13,2515.24,408.85,162.03,0,11,0.7835
2024-11-05,1001,205.05,12,2460.6,516.24,162.03,1,11,0.7835
2024-11-06,1001,248.98,7,1742.86,608.65,162.03,2,11,0.7835
2024-11-07,1001,242.18,7,1695.26,561.05,162.03,3,11,0.7835
2024-11-08,1001,235.87,8,1886.96,590.72,162.03,4,11,0.7835
2024-11-09,1001,238.68,9,2148.12,689.85,162.03,5,11,0.7835
2024-11-10,1001,232.96,8,1863.68,567.44,162.03,6,11,0.7835
2024-11-11,1001,245.57,9,2210.13,751.86,162.03,0,11,0.7835
2024-11-12,1001,229.92,7,1609.44,475.23,162.03,1,11,0.7835
2024-11-13,1001,235.87,7,1651.09,516.88,162.03,2,11,0.7835
2024-11-14,1001,234.63,10,2346.3,726.0,162.03,3,11,0.7835
2024-11-15,1001,235.88,9,2122.92,664.65,162.03,4,11,0.7835
2024-11-16,1001,231.38,11,2545.18,762.85,162.03,5,11,0.7835
2024-11-17,1001,237.46,11,2612.06,829.73,162.03,6,11,0.7835
2024-11-18,1001,209.79,9,1888.11,429.84,162.03,0,11,0.7835
2024-11-19,1001,199.51,12,2394.12,449.76,162.03,1,11,0.7835
2024-11-20,1001,194.83,15,2922.45,492.0,162.03,2,11,0.7835
2024-11-21,1001,227.87,9,2050.83,592.56,162.03,3,11,0.7835
2024-11-22,1001,199.91,11,2199.01,416.68,162.03,4,11,0.7835
2024-11-23,1001,217.85,10,2178.5,558.2,162.03,5,11,0.7835
2024-11-24,1001,199.52,12,2394.24,449.88,162.03,6,11,0.7835
2024-11-25,1001,240.5,7,1683.5,549.29,162.03,0,11,0.7835
2024-11-26,1001,236.91,9,2132.19,673.92,162.03,1,11,0.7835
2024-11-27,1001,231.07,10,2310.7,690.4,162.03,2,11,0.7835
2024-11-28,1001,194.9,14,2728.6,460.18,162.03,3,11,0.7835
2024-11-29,1001,204.95,11,2254.45,472.12,162.03,4,11,0.7835
2024-11-30,1001,227.19,11,2499.09,716.76,162.03,5,11,0.7835
2024-12-01,1001,243.89,8,1951.12,654.88,162.03,6,12,0.75
2024-12-02,1001,192.9,10,1929.0,308.7,162.03,0,12,0.75
2024-12-03,1001,216.05,10,2160.5,540.2,162.03,1,12,0.75
2024-12-04,1001,228.7,9,2058.3,600.03,162.03,2,12,0.75
2024-12-05,1001,192.66,11,2119.26,336.93,162.03,3,12,0.75
2024-12-06,1001,248.89,6,1493.34,521.16,162.03,4,12,0.75
2024-12-07,1001,244.09,9,2196.81,738.54,162.03,5,12,0.75
2024-12-08,1001,244.65,9,2201.85,743.58,162.03,6,12,0.75
2024-12-09,1001,192.54,10,1925.4,305.1,162.03,0,12,0.75
2024-12-10,1001,227.06,9,2043.54,585.27,162.03,1,12,0.75
2024-12-11,1001,225.49,10,2254.9,634.6,162.03,2,12,0.75
2024-12-12,1001,208.27,8,1666.16,369.92,162.03,3,12,0.75
2024-12-13,1001,212.08,10,2120.8,500.5,162.03,4,12,0.75
2024-12-14,1001,218.33,9,1964.97,506.7,162.03,5,12,0.75
2024-12-15,1001,205.37,14,2875.18,606.76,162.03,6,12,0.75
2024-12-16,1001,230.27,7,1611.89,477.68,162.03,0,12,0.75
2024-12-17,1001,216.54,10,2165.4,545.1,162.03,1,12,0.75
2024-12-18,1001,203.24,9,1829.16,370.89,162.03,2,12,0.75
2024-12-19,1001,241.43,9,2172.87,714.6,162.03,3,12,0.75
2024-12-20,1001,207.65,9,1868.85,410.58,162.03,4,12,0.75
2024-12-21,1001,239.72,7,1678.04,543.83,162.03,5,12,0.75
2024-12-22,1001,235.31,10,2353.1,732.8,162.03,6,12,0.75
2024-12-23,1001,201.73,12,2420.76,476.4,162.03,0,12,0.75
2024-12-24,1001,248.81,6,1492.86,520.68,162.03,1,12,0.75
2024-12-25,1001,206.93,11,2276.23,493.9,162.03,2,12,0.75
2024-12-26,1001,218.89,7,1532.23,398.02,162.03,3,12,0.75
2024-12-27,1001,196.05,11,2156.55,374.22,162.03,4,12,0.75
2024-12-28,1001,212.85,14,2979.9,711.48,162.03,5,12,0.75
2024-12-29,1001,225.41,9,2028.69,570.42,162.03,6,12,0.75
2024-12-30,1001,235.48,7,1648.36,514.15,162.03,0,12,0.75
2024-01-01,1002,142.22,36,5119.92,2046.6,85.37,0,1,0.7835
2024-01-02,1002,125.44,54,6773.76,2163.78,85.37,1,1,0.7835
2024-01-03,1002,142.06,41,5824.46,2324.29,85.37,2,1,0.7835
2024-01-04,1002,123.71,48,5938.08,1840.32,85.37,3,1,0.7835
2024-01-05,1002,139.22,42,5847.24,2261.7,85.37,4,1,0.7835
2024-01-06,1002,138.38,38,5258.44,2014.38,85.37,5,1,0.7835
